country,dates,genres,score,title,url,votes
United States,2014..2020,"[""Animation"", ""Comedy"", ""Drama""]",8.8,BoJack Horseman,https://imdb.com/title/tt3398228/,161908
United States,2000..,"[""Comedy""]",8.8,Curb Your Enthusiasm,https://imdb.com/title/tt0264235/,131106
United States,2022..,"[""Action"", ""Adventure"", ""Sci-Fi""]",8.2,Star Trek: Strange New Worlds,https://imdb.com/title/tt12327578/,32925
United States,2021..2023,"[""Drama"", ""Romance""]",7.4,Firefly Lane,https://imdb.com/title/tt9012876/,25854
United States,2019..2023,"[""Crime"", ""Drama"", ""Fantasy""]",7.8,Carnival Row,https://imdb.com/title/tt0489974/,65627
United States,2015..2020,"[""Comedy""]",8.5,Schitt's Creek,https://imdb.com/title/tt3526078/,124671
United States,1984..1996,"[""Crime"", ""Drama"", ""Mystery""]",7.1,"Murder, She Wrote",https://imdb.com/title/tt0086765/,25599
United States,2009..2015,"[""Comedy"", ""Drama"", ""Music""]",6.8,Glee,https://imdb.com/title/tt1327801/,150076
United States,2002..,"[""Comedy""]",4.8,That '80s Show,https://imdb.com/title/tt0305472/,2339
United States,1990..2000,"[""Drama"", ""Romance""]",6.5,"Beverly Hills, 90210",https://imdb.com/title/tt0098749/,35210
United States,2021..,"[""Biography"", ""Crime"", ""Drama""]",7.5,BMF,https://imdb.com/title/tt3850598/,4368
United States,2011..2018,"[""Adventure"", ""Fantasy"", ""Romance""]",7.7,Once Upon a Time,https://imdb.com/title/tt1843230/,227003
United States,1993..2000,"[""Comedy"", ""Drama"", ""Family""]",8.1,Boy Meets World,https://imdb.com/title/tt0105958/,43886
United States,2017..,"[""Action"", ""Adventure"", ""Drama""]",7.0,Star Trek: Discovery,https://imdb.com/title/tt5171438/,124705
United States,2010..2020,"[""Action"", ""Crime"", ""Drama""]",7.4,Hawaii Five-0,https://imdb.com/title/tt1600194/,74686
United States,2015..2019,"[""Crime"", ""Drama"", ""Thriller""]",8.6,Mr. Robot,https://imdb.com/title/tt4158110/,391821
United States,2011..,"[""Animation"", ""Comedy""]",8.2,Bob's Burgers,https://imdb.com/title/tt1561755/,83360
United States,2013..2016,"[""Action"", ""Crime"", ""Drama""]",8.4,Banshee,https://imdb.com/title/tt2017109/,107116
United States,2012..2020,"[""Action"", ""Adventure"", ""Crime""]",7.5,Arrow,https://imdb.com/title/tt2193021/,434038
United States,2021..,"[""Crime"", ""Mystery"", ""Thriller""]",8.3,Leverage: Redemption,https://imdb.com/title/tt12197698/,18817
United States,2022..,"[""Action"", ""Crime"", ""Drama""]",4.9,The Rookie: Feds,https://imdb.com/title/tt18076310/,3503
United States,2001..2010,"[""Comedy"", ""Drama""]",8.4,Scrubs,https://imdb.com/title/tt0285403/,258826
United States,2016..,"[""Drama""]",8.4,Billions,https://imdb.com/title/tt4270492/,95687
United States,2021..,"[""Animation"", ""Action"", ""Adventure""]",9.0,Arcane,https://imdb.com/title/tt11126994/,214554
United States,2007..2012,"[""Drama"", ""Romance""]",7.5,Gossip Girl,https://imdb.com/title/tt0397442/,177656
United States,2005..2008,"[""Animation"", ""Action"", ""Adventure""]",9.3,Avatar: The Last Airbender,https://imdb.com/title/tt0417299/,320980
United States,2022..,"[""Drama"", ""Mystery"", ""Sci-Fi""]",5.7,Quantum Leap,https://imdb.com/title/tt17043230/,6233
United States,2020..,"[""Crime"", ""Drama""]",7.6,Miss Scarlet & the Duke,https://imdb.com/title/tt8270592/,7947
United States,2010..2014,"[""Crime"", ""Drama""]",8.6,Boardwalk Empire,https://imdb.com/title/tt0979432/,191754
United States,1982..1993,"[""Comedy"", ""Drama""]",7.9,Cheers,https://imdb.com/title/tt0083399/,56877
United States,2022..,"[""Action"", ""Drama"", ""Thriller""]",7.6,The Old Man,https://imdb.com/title/tt5645432/,40152
United States,2008..2020,"[""Animation"", ""Action"", ""Adventure""]",8.4,Star Wars: The Clone Wars,https://imdb.com/title/tt0458290/,100686
United States,2020..2023,"[""Animation"", ""Action"", ""Adventure""]",8.4,The Owl House,https://imdb.com/title/tt8050756/,13249
United States,1957..1966,"[""Crime"", ""Drama"", ""Mystery""]",8.3,Perry Mason,https://imdb.com/title/tt0050051/,9969
United States,2022..,"[""Action"", ""Drama"", ""Thriller""]",7.9,The Terminal List,https://imdb.com/title/tt11743610/,93092
United States,2023..,"[""Reality-TV""]",5.1,Bling Empire: New York,https://imdb.com/title/tt22481904/,296
United States,1966..1969,"[""Action"", ""Adventure"", ""Sci-Fi""]",8.4,Star Trek,https://imdb.com/title/tt0060028/,85634
United States,2019..,"[""Animation"", ""Short"", ""Action""]",8.4,"Love, Death & Robots",https://imdb.com/title/tt9561862/,173114
United States,2015..,"[""Drama""]",7.6,Chicago Med,https://imdb.com/title/tt4655480/,26378
United States,1998..2004,"[""Comedy"", ""Drama"", ""Romance""]",7.3,Sex and the City,https://imdb.com/title/tt0159206/,129202
United States,2015..2021,"[""Comedy""]",7.8,Superstore,https://imdb.com/title/tt4477976/,60179
