country,dates,genres,score,title,url,votes,critic_count,description,popularity
United Kingdom (Great Britain),2019..2022,"[""Comedy"", ""Drama""]",8.4,After Life,https://www.imdb.com/title/tt8398600/,138731,80,"After Tony's wife dies, his nice-guy persona is altered into an impulsive, devil-may-care attitude that takes his old world by storm.",403
United States,2013..2018,"[""Drama"", ""Fantasy"", ""Horror""]",8.3,The Originals,https://www.imdb.com/title/tt2632424/,138205,28,A family of power-hungry thousand-year-old vampires look to take back the city that they built and dominate all those who have done them wrong.,407
United States,2022..,"[""Drama"", ""Mystery"", ""Sci"", ""Fi""]",8.7,Severance,https://www.imdb.com/title/tt11280740/,133878,52,"Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs.",45
United States,2000..,"[""Comedy""]",8.8,Curb Your Enthusiasm,https://www.imdb.com/title/tt0264235/,131106,38,The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.,237
United States,2022..,"[""Action"", ""Crime"", ""Drama""]",8.1,Reacher,https://www.imdb.com/title/tt9288030/,129650,63,Jack Reacher was arrested for murder and now the police need his help. Based on the books by Lee Child.,111
Canada,2015..2020,"[""Comedy""]",8.5,Schitt's Creek,https://www.imdb.com/title/tt3526078/,124671,35,"After being a victim of fraud, Johnny Rose and his family go from extremely wealthy to penniless overnight. The only asset left to them is a small, unsophisticated town: Schitt's Creek. They relocate there. Culture shock ensues.",245
United States,2019..,"[""Crime"", ""Drama"", ""Mystery""]",8.2,Watchmen,https://www.imdb.com/title/tt7049682/,122521,62,"Set in an alternate history where masked vigilantes are treated as outlaws, Watchmen embraces the nostalgia of the original groundbreaking graphic novel of the same name, while attempting to break new ground of its own.",537
United Kingdom (Great Britain),2018..2022,"[""Action"", ""Adventure"", ""Drama""]",8.1,Killing Eve,https://www.imdb.com/title/tt7016936/,120927,80,"After a series of events, the lives of a security operative and an assassin become inextricably linked.",464
United States,2022..,"[""Action"", ""Adventure"", ""Drama""]",8.4,Andor,https://www.imdb.com/title/tt9253284/,117054,29,"Prequel series to Star Wars' 'Rogue One'. In an era filled with danger, deception and intrigue, Cassian will embark on the path that is destined to turn him into a Rebel hero.",43
United States,2017..,"[""Comedy"", ""Drama""]",8.7,The Marvelous Mrs. Maisel,https://www.imdb.com/title/tt5788792/,116253,73,"After her husband leaves her, young mother of two Miriam ""Midge"" Maisel discovers that she has a talent for stand-up comedy. Could this be her calling?",302
United States,2022..,"[""Action"", ""Adventure"", ""Comedy""]",8.3,Peacemaker,https://www.imdb.com/title/tt13146488/,114462,49,"Picking up where The Suicide Squad (2021) left off, Peacemaker returns home after recovering from his encounter with Bloodsport - only to discover that his freedom comes at a price.",366
United States,1999..,"[""Crime"", ""Drama"", ""Mystery""]",8.1,Law & Order: Special Victims Unit,https://www.imdb.com/title/tt0203259/,109972,41,"This series follows the Special Victims Unit, a specially trained squad of detectives in the New York City Police Department that investigate sexually related crimes.",55
United States,2021..,"[""Comedy"", ""Crime"", ""Drama""]",8.1,Only Murders in the Building,https://www.imdb.com/title/tt12851524/,107222,85,Three strangers bonded by their love of true crime podcasts record their own to accompany their investigations of murders in their building on the Upper West Side of New York.,87
United States,2019..,"[""Drama""]",8.3,The Morning Show,https://www.imdb.com/title/tt7203552/,104648,40,"An inside look at the lives of the people who help America wake up in the morning, exploring the unique challenges faced by the team.",192
United States,2013..2018,"[""Crime"", ""Drama"", ""Mystery""]",8.4,The Americans,https://www.imdb.com/title/tt2149175/,101540,62,"At the height of the Cold War, two Russian agents pose as the average American couple, complete with family.",400
United States,2017..,"[""Drama""]",8.1,The Good Doctor,https://www.imdb.com/title/tt6470478/,97445,33,"Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital.",104
United States,2016..,"[""Drama""]",8.4,Billions,https://www.imdb.com/title/tt4270492/,95687,31,"New money means no mercy as Mike Prince takes the Axe Capital throne. Chuck Rhoades is convinced no one should have that much wealth - or power. As all the players seek out new alliances, only one thing's for certain - wealth means war.",272
Turkey,2011..2023,"[""Adventure"", ""Comedy"", ""Drama""]",9.1,Leyla and Mecnun,https://www.imdb.com/title/tt1831164/,94373,36,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",1840
United States,2017..2019,"[""Action"", ""Drama"", ""Sci"", ""Fi""]",8.2,Legion,https://www.imdb.com/title/tt5114356/,92359,66,"David Haller is a troubled young man diagnosed as schizophrenic, but after a strange encounter he discovers special powers that will change his life forever.",556
United States,2019..2022,"[""Comedy"", ""Crime"", ""Drama""]",8.0,Dead to Me,https://www.imdb.com/title/tt8064302/,90064,76,A series about a powerful friendship that blossoms between a tightly wound widow and a free spirit with a shocking secret.,165
United States,2017..,"[""Adventure"", ""Comedy"", ""Drama""]",8.0,The Orville,https://www.imdb.com/title/tt5691552/,89741,48,"Set 400 years in the future, finds the crew of the U.S.S. Orville continuing their mission of exploration, as they navigate both the mysteries of the universe and the complexities of their own interpersonal relationships.",199
United States,2013..2020,"[""Crime"", ""Drama""]",8.3,Ray Donovan,https://www.imdb.com/title/tt2249007/,88358,42,"Ray Donovan, a professional ""fixer"" for the rich and famous in Los Angeles, can make anyone's problems disappear except those created by his own family.",507
United States,2018..2021,"[""Crime"", ""Drama""]",8.4,Narcos: Mexico,https://www.imdb.com/title/tt8714904/,85710,34,The rise of the Guadalajara Cartel as an American DEA agent learns the danger of targeting narcos in Mexico.,492
United States,2018..,"[""Action"", ""Comedy"", ""Crime""]",8.4,Barry,https://www.imdb.com/title/tt5348176/,85691,49,A hit man from the Midwest moves to Los Angeles and gets caught up in the city's theatre arts scene.,230
United States,2019..,"[""Comedy"", ""Fantasy"", ""Horror""]",8.6,What We Do in the Shadows,https://www.imdb.com/title/tt7908628/,80915,39,A look into the nightly lives of four vampires who have lived together on Staten Island for over a century.,233
United Kingdom (Great Britain),2019..2023,"[""Comedy"", ""Fantasy""]",8.0,Good Omens,https://www.imdb.com/title/tt1869454/,79688,43,"A tale of the bungling of Armageddon features an angel, a demon, an 11-year-old Antichrist, and a doom-saying witch.",546
United States,2022..,"[""Comedy"", ""Drama""]",8.4,The Bear,https://www.imdb.com/title/tt14452776/,78602,37,A young chef from the fine dining world returns to Chicago to run his family's sandwich shop.,68
United States,2016..2022,"[""Comedy"", ""Drama"", ""Music""]",8.6,Atlanta,https://www.imdb.com/title/tt4288182/,76887,45,"Earn and his cousin Alfred, based in Atlanta, try to make their way in the world through the rap scene. Along the way they come face-to-face with social and economic issues touching on race, relationships, poverty, status, and parenthood.",170
United States,2004..2019,"[""Crime"", ""Drama"", ""Mystery""]",8.4,Veronica Mars,https://www.imdb.com/title/tt0412253/,74517,52,"After her best friend is murdered, and her father is removed as county Sheriff, Veronica Mars dedicates her life to cracking the toughest mysteries in the affluent town of Neptune.",401
United States,2014..2021,"[""Crime"", ""Drama""]",8.5,Bosch,https://www.imdb.com/title/tt3502248/,73505,41,An L.A.P.D. homicide detective works to solve the murder of a 13-year-old boy while standing trial in federal court for the murder of a serial killer.,323
Germany,2011..2018,"[""Crime"", ""Mystery"", ""Thriller""]",8.6,The Bridge,https://www.imdb.com/title/tt1733785/,70738,55,"When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer.",672
